ラベル用備考,ラベル発行枚数,リテスト延長使用期限,リテスト試験日数,使用剤形,使用期限表示,保障期間,公差使用,分類,単価,原料ID,原料コード,原料区分,原料名,原料簿コード（サブ）,原料簿コード（メイン）,原産国表示,受入試験後使用期限,品質管理備考,商品名,商品名カナ,在庫単位（係数）,変更申請／変更指示,差分警告割合,正袋秤量,正袋重量,生産本部備考,画像パス,発注単位,荷姿,補正情報,製造所,規格,調達区分,販売者,風袋重量,,
,1 枚,12 ヵ月,14 日,液剤,表示なし,,する,,"36,000",771,,通常,,（未設定）,（未設定）,,12 ヵ月,,柴胡桂枝湯エキス-A(ロット:BE3231A・ペアコールこどもかぜシロップ専用),ｻｲｺｹｲｼﾄｳｴｷｽｴｰ,g（1）,,なし,可能,10kg,,,kg,10kg,,日本粉末薬品㈱,,購買,日本粉末薬品㈱,0.85kg,,
,2 枚,12 ヵ月,14 日,錠剤,使用期限,製造後1年,する,主薬,"2,200",772,,通常,アスコルビン酸,（未設定）,（未設定）,,12 ヵ月,,ASCORBIC ACID 100M(アスコルビン酸 100M),ｱｽｺﾙﾋﾞﾝｻﾝ,g（1）,【22-231】ビオフェルミンぽっこり整腸チュアブルa アスコルビン酸メーカー変更,1％,可能,10kg,2023.11.22初回入荷,images\772.jpg,kg,10kg,,天力製薬フーズ㈱,日局,購買,ダイト㈱,0kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,,する,その他,"5,700",773,773,通常,ピーチ WS ER-13,（未設定）,（未設定）,,12 ヵ月,,ピーチ WS ER-13,ﾋﾟｰﾁ ﾀﾞﾌﾞﾙｴｽ ｲｰｱｰﾙｼﾞﾕｳｻﾝ,g（1）,【23-128】セロラBBローヤルα、ステラスBBローヤルαの香料変更2023.9.1初回生産,なし,可能,1kg,比重:0.9858(規格範囲:0.981～1.001)原料コード:376 ピーチフレーバーFL89106の代替品,images\773.jpg,kg,1kg,,ケミ・コム・ジャパン㈱,香料,購買,日本バルク薬品㈱,0.14kg,,
,1 枚,12 ヵ月,14 日,軟膏/注入軟膏/クリーム,表示なし,,する,その他,"1,980",774,A6139,通常,白色ワセリン,（未設定）,（未設定）,,12 ヵ月,,サンホワイト(P-150),ｻﾝﾎﾜｲﾄﾋﾟｰﾋﾔｸｺﾞｼﾞﾕｳ,g（1）,,なし,可能,0kg,白色ワセリン、荷姿:160kg/ドラム,images\774.jpg,kg,160kg,,日興リカ㈱,日局,購買,日本バルク薬品㈱,0kg,,
,1 枚,12 ヵ月,14 日,軟膏/注入軟膏/クリーム,表示なし,,する,その他,900,775,A6140,通常,白色ワセリン,（未設定）,（未設定）,,12 ヵ月,,白色ワセリン(スノーV),ﾊｸｼﾖｸﾜｾﾘﾝ.ｽﾉｰﾌﾞｲ.,g（1）,,なし,可能,0kg,Penreco Snow-V・荷姿:175kgドラム,images\775.jpg,kg,175kg,,カネダ㈱,日局,購買,日本バルク薬品㈱,0kg,,
,1 枚,12 ヵ月,14 日,,使用期限,,する,,400,776,,通常,,（未設定）,（未設定）,,12 ヵ月,,局方 松谷コーンスターチ,ﾆﾂｷﾖｸ ﾏﾂﾀﾆｺｰﾝｽﾀｰﾁ,g（1）,,1％,可能,25kg,,,kg,,,松谷化学工業㈱,,支給,扶桑化学工業㈱,0.31kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,,0,777,,通常,,（未設定）,（未設定）,,12 ヵ月,,ASCORBIC ACID 100M(アスコルビン酸 100M),ｱｽｺﾙﾋﾞﾝｻﾝ,g（1）,,なし,可能,10kg,,images\777.jpg,kg,kg,,天力製薬フーズ㈱,,支給,扶桑化学工業㈱,0.306kg,,
,2 枚,12 ヵ月,14 日,液剤/錠剤,使用期限,,しない,主薬,"13,000",778,A1418,通常,dl-メチルエフェドリン塩酸塩,（未設定）,（未設定）,,12 ヵ月,,dl-メチルエフェドリン塩酸塩,ﾃﾞｲｰｴﾙﾒﾁﾙｴﾌｴﾄﾞﾘﾝｴﾝｻﾝｴﾝ,g（1）,,1％,不可,0kg,覚醒剤,images\778.jpg,kg,5,,協和ファーマケミカル㈱,日局,購買,ダイト㈱,0kg,,
吸湿性,1 枚,12 ヵ月,10 日,錠剤,表示なし,,しない,主薬,"103,280",779,,通常,有胞子性乳酸菌,（未設定）,（未設定）,日本,6 ヵ月,,有胞子性乳酸菌,ﾕｳﾎｳｼｾｲﾆﾕｳｻﾝｷﾝ,g（1）,,1％,可能,1kg,,images\779.jpg,kg,kg,生菌数：＊＊×10?個/ｇ,"Sanzyme Biologics PVT,LTD.",局外規,支給,第一三共ヘルスケア(株),0.08kg,,
,1 枚,12 ヵ月,7 日,錠剤,使用期限,,する,その他,985,780,,通常,乳糖水和物(Lactochem Fine powder),（未設定）,（未設定）,,12 ヵ月,,Lactochem Fine Powder,ﾗｸﾄｹﾑﾌｱｲﾝﾊﾟｳﾀﾞｰ,g（1）,,1％,可能,25kg,,,kg,25Kg,,"DFE pharma GmBH&CO,KG.",日局,購買,日本バルク薬品㈱,0.315kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,製造後6か月,する,その他,"19,950",781,,通常,ミニドリンク A181010,（未設定）,（未設定）,,12 ヵ月,,ミニドリンク A181010,ﾐﾆﾄﾞﾘﾝｸ ｴｰｲﾁﾊﾁｲﾁｾﾞﾛｲﾁｾﾞﾛ,g（1）,,1％,可能,5kg,,,kg,5kg,,豊玉香料㈱,香料,購買,興和㈱化学素材部 機能材料課,0.478kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,製造後1年間,する,その他,"11,350",782,,通常,SENSATE.W OTC J1900567/03,（未設定）,（未設定）,,12 ヵ月,,SENSATE.W OTC J1900567/03,ｾﾝｾｰﾄﾀﾞﾌﾞﾙｵｰﾃｲｰｼｰｼﾞｴｲｲﾁｷﾕｳｾﾞﾛｾﾞﾛｺﾞﾛｸﾅﾅｽﾗﾂｼﾕｾﾞﾛｻﾝ,g（1）,,1％,可能,15kg,,,kg,15kg,比重**,ヴェ・マン・フィス香料,香料,購買,興和㈱化学素材部 機能材料課,1.2kg,,
,2 枚,12 ヵ月,14 日,液剤,使用期限,製造後1年間,する,その他,"37,000",783,,通常,スクラロース(プレジロン SU-600(PG)),（未設定）,（未設定）,,12 ヵ月,,プレジロン SU-600(PG),ﾌﾟﾚｼﾞﾛﾝｴｽﾕｰﾛﾂﾋﾟﾔｸﾋﾟｰｼﾞｰ,g（1）,,1％,可能,1kg,1Kg×10袋,,kg,1kg,,ツルヤ化成工業㈱,薬添規,購買,興和㈱化学素材部 機能材料課,0.013kg,,
,1 枚,12 ヵ月,14 日,外用剤,表示なし,,する,主薬,162,784,,通常,エタノール(トレーサブル95 1級),（未設定）,（未設定）,,12 ヵ月,,一般アルコール トレーサブル95 1級,ｲﾂﾊﾟﾝｱﾙｺｰﾙﾄﾚｰｻﾌﾞﾙｷﾕｳｼﾞﾕｳｺﾞｲﾂｷﾕｳ,kg（0.81537）,,1％,不可,0kg,無税・発酵95度 L単価=199円 Kg単価=199×0.81537  タンクは1800L切るとポンプが吸えなくなる。在庫は3000L以上持つようにする。規格:工業用購入→受入試験後、自社担保で「日局」タンクローリー車で納品有税品は一斗缶で18L入り、「発酵・有税品」と注文書に明記し購入する。,,L,L,,日本アルコール産業㈱,日局,購買,日本アルコール販売㈱,0kg,,
,2 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"14,900",785,,通常,トラネキサム酸,（未設定）,（未設定）,,12 ヵ月,,トラネキサム酸,ﾄﾗﾈｷｻﾑｻﾝ,g（1）,,1％,可能,20kg,,images\785.jpg,kg,20kg,,千輝薬業(安徽)有限責任公司,日局,購買,ダイト㈱,3.05kg,,
,1 枚,12 ヵ月,14 日,坐剤,使用期限,製造日から35か月,する,主薬,0,786,,通常,ジクロフェナクナトリウム(日医工)未粉砕品,（未設定）,（未設定）,,12 ヵ月,吸湿防止のため、サンプリング又は開封後、内袋と外袋の間にシリカゲルを1つ封入すること。,ジクロフェナクナトリウム(日医工)未粉砕品,ｼﾞｸﾛﾌｴﾅｸﾅﾄﾘｳﾑ.ﾆﾁｲｺｳ.ﾐﾌﾝｻｲﾋﾝ,g（1）,,1％,可能,25kg,ファイバードラム,images\786.jpg,kg,25kg,,Amoli Organics Pvt .Ltd.,日局,支給,日医工岐阜工場㈱,2.617kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,,する,主薬,"4,445",787,,通常,無水カフェイン(CSPC),（未設定）,（未設定）,,12 ヵ月,,無水カフェイン(CSPC),ﾑｽｲｶﾌｴｲﾝ.ｼｰｴｽﾋﾟｰｼｰ.,g（1）,,1％,可能,10kg,,images\787.jpg,kg,10kg,,CSPC社(㈱静岡カフェイン工業所),日局,購買,興和㈱化学素材部 機能材料課,0.12kg,,
,0 枚,0 ヵ月,0 日,錠剤,使用期限,,する,,0,788,,通常,パラローンかぜEXゴールド,（未設定）,（未設定）,,無期限,,（中間製品）パラローンかぜEXゴールド,ﾊﾟﾗﾛｰﾝｶｾﾞｲｰｴﾂｸｽｺﾞｰﾙﾄﾞ,錠（1）,,なし,可能,0kg,緑ヶ丘第二工場出荷、ゆめぽりす工場入荷,,錠,,,中外医薬生産㈱緑ヶ丘第二工場,別紙規格,,中外医薬生産㈱緑ヶ丘第二工場,0kg,,
,0 枚,0 ヵ月,0 日,錠剤,使用期限,,する,,0,789,,通常,コルゲンコーワかぜ錠,（未設定）,（未設定）,,無期限,,（中間製品）コルゲンコーワかぜ錠,ｺﾙｹﾞﾝｺｰﾜｶｾﾞｼﾞﾖｳ,錠（1）,,なし,可能,0kg,緑ヶ丘第二工場出荷、ゆめぽりす工場入荷,,錠,,,中外医薬生産㈱緑ヶ丘第二工場,別紙規格,,中外医薬生産㈱緑ヶ丘第二工場,0kg,,
,2 枚,12 ヵ月,14 日,液剤,表示なし,―,する,その他,"5,200",79,A1402,通常,エデト酸カルシウムナトリウム水和物,（未設定）,053 : エデト酸カルシウム-2-ナトリウム　（＝キレストＦカルシウム） ／ 食添 ／ キレスト㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,キレスト F-CA,ｷﾚｽﾄ ｴﾌｼｰｴｰ,g（1）,,1％,可能,1kg,エデト酸カルシウム-2-ナトリウム,images\79.jpg,kg,1kg,,キレスト㈱,日局,購買,日本バルク薬品㈱,0.012kg,,
,0 枚,0 ヵ月,0 日,錠剤,使用期限,,する,,0,790,,通常,コルゲンコーワ総合感冒薬,（未設定）,（未設定）,,無期限,,（中間製品）コルゲンコーワ総合感冒薬,ｺﾙｹﾞﾝｺｰﾜｿｳｺﾞｳｶﾝﾎﾞｳﾔｸ,錠（1）,,なし,可能,0kg,緑ヶ丘第二工場出荷、ゆめぽりす工場入荷,,錠,,,中外医薬生産㈱緑ヶ丘第二工場,別紙規格,,中外医薬生産㈱緑ヶ丘第二工場,0kg,,
,1 枚,0 ヵ月,14 日,坐剤,使用期限,,する,主薬,0,791,,通常,ジクロフェナクナトリウム(日医工)(粉砕品),（未設定）,（未設定）,,6 ヵ月,,ジクロフェナクナトリウム(日医工)(粉砕品),ｼﾞｸﾛﾌｴﾅｸﾅﾄﾘｳﾑ ﾆﾁｲｺｳ ﾌﾝｻｲﾋﾝ,g（1）,,1％,可能,25kg,原料コード:786の未粉砕品を粉砕したもの,,kg,25kg,,Amoli Organics Pvt .Ltd.,日局,支給,日医工岐阜工場㈱,2.25kg,,
吸湿性,7 枚,12 ヵ月,10 日,,表示なし,,しない,主薬,"24,286",792,,通常,700億末 有胞子性乳酸菌,（未設定）,（未設定）,,6 ヵ月,,700億末有胞子性乳酸菌,ﾅﾅﾋﾔｸｵｸﾏﾂﾕｳﾎｳｼｾｲﾆﾕｳｻﾝｷﾝ,g（1）,,なし,可能,0kg,,,,,生菌数：＊＊×10^8個/ｇ,中外医薬生産㈱緑ヶ丘第二工場,局外規,,中外医薬生産㈱緑ヶ丘第二工場,0kg,,
,1 枚,12 ヵ月,14 日,固形剤,表示なし,,する,,0,793,,通常,,（未設定）,（未設定）,,12 ヵ月,,（中間製品）八味地黄丸料エキス錠(バルク),ﾊﾁﾐｼﾞｵｳｶﾞﾝﾘﾖｳｴｷｽｼﾞﾖｳ.ﾊﾞﾙｸ.,kg（1）,,なし,可能,0kg,,,kg,,,中外医薬生産㈱,,支給,中外医薬生産㈱,0kg,,
,1 枚,12 ヵ月,30 日,半固形,表示なし,,する,その他,960,794,,通常,レオドールTW-O120V(ポリソルベート80),（未設定）,（未設定）,,12 ヵ月,,レオドールTW-O120V,ﾚｵﾄﾞｰﾙﾃｲｰﾀﾞﾌﾞﾙｵｰｲﾁﾆｾﾞﾛﾌﾞｲ,g（1）,,1％,可能,18kg,,images\794.jpg,kg,18,,花王㈱,日局,購買,金剛薬品㈱,1.15kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,主薬,"1,500",795,,通常,オウバク末,（未設定）,（未設定）,,12 ヵ月,,オウバク末-N,ｵｳﾊﾞｸﾏﾂｴﾇ,g（1）,,1％,可能,20kg,,images\795.jpg,kg,20,,甘利香辛食品㈱,日局,購買,甘利香辛食品㈱,0.26kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,主薬,"1,030",796,,通常,ケイヒ末,（未設定）,（未設定）,,12 ヵ月,,ケイヒ末-N,ｹｲﾋﾏﾂｴﾇ,g（1）,,1％,可能,20kg,,images\796.jpg,kg,20,,甘利香辛食品㈱,日局,購買,甘利香辛食品㈱,0.26kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,主薬,"1,350",797,,通常,カンゾウ末,（未設定）,（未設定）,日本,12 ヵ月,,カンゾウ末-N,ｶﾝｿﾞｳﾏﾂｴﾇ,g（1）,,1％,可能,20kg,,images\797.jpg,kg,20,,甘利香辛食品㈱,日局,購買,甘利香辛食品㈱,0.27kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,主薬,"1,350",798,,通常,ショウキョウ末,（未設定）,（未設定）,,12 ヵ月,,ショウキョウ末-N,ｼﾖｳｷﾖｳﾏﾂｴﾇ,g（1）,,1％,可能,20kg,,images\798.jpg,kg,20,,甘利香辛食品㈱,日局,購買,甘利香辛食品㈱,0.26kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"18,000",799,,通常,サンショウ末,（未設定）,（未設定）,,12 ヵ月,,サンショウ末,ｻﾝｼﾖｳﾏﾂ,g（1）,,1％,可能,10kg,,images\799.jpg,kg,10,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.1kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,製造後1年,する,その他,295,8,F0093,通常,ソルビトール,（未設定）,206 : ソルビトールF(食添） ／ 食添 ／ 物産フードサイエンス㈱ ／ 日本バルク薬品㈱,,12 ヵ月,,ソルビトールF(食品添加物D-ソルビトール液),ｿﾙﾋﾞﾄｰﾙF.ｼﾖｸﾋﾝﾃﾝｶﾌﾞﾂDｰｿﾙﾋﾞﾄｰﾙｴｷ.,g（1）,,1％,可能,22kg,再試験できない。期限切れは廃棄になる。,images\8.jpg,kg,22kg,,物産フードサイエンス㈱,食添,購買,日本バルク薬品㈱,1.2kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,,する,主薬,0,80,F0178,通常,カンカエキス末,（未設定）,（未設定）,,12 ヵ月,,カンカエキス末,ｶﾝｶｴｷｽﾏﾂ,g（1）,,1％,可能,1kg,【原産国表示対象】カンカエキス末、原産国(表示内容):中国製造※10kg(1kg×10袋),images\80.jpg,kg,10kg,,㈱栄進商事,食品メーカー規格,支給,日本製薬工業㈱,0.039kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"15,000",800,,通常,タカヂアスターゼN1,（未設定）,（未設定）,,12 ヵ月,,タカヂアスターゼN1,ﾀｶﾁﾞｱｽﾀｰｾﾞｴﾇｲﾁ,g（1）,,1％,可能,25kg,,images\800.jpg,kg,25,,天野エンザイム㈱,別紙規格,購買,第一三共ヘルスケア(株),3.19kg,,
劇物,1 枚,12 ヵ月,14 日,外用剤,使用期限,,する,主薬,"21,840",801,,通常,アクチナミンH(カルプロニウム塩化物水和物),（未設定）,（未設定）,,12 ヵ月,劇物,アクチナミン一水塩,ｱｸﾁﾅﾐﾝｲﾂｽｲｴﾝ,g（1）,,1％,可能,45kg,アクチナミン一水塩(塩化カルプロニウム)第一三共より有償支給となる。2回の分納で3月に250㎏と7～10月くらいで残りの250㎏の購入,images\801.jpg,kg,45,,十全化学㈱,別紙規格,購買,第一三共ヘルスケア(株),0kg,,
劇物,1 枚,12 ヵ月,14 日,液剤,使用期限,,する,主薬,"3,100",802,,通常,無水カフェイン,（未設定）,（未設定）,,12 ヵ月,劇物,無水カフェイン(蝶理),ﾑｽｲｶﾌｴｲﾝ.ﾁﾖｳﾘ.,g（1）,,1％,可能,25kg,,,kg,25,,蝶理㈱,日局,購買,蝶理㈱,3.81kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,その他,"1,162",803,,通常,Lactochem Crystals(乳糖水和物),（未設定）,（未設定）,,12 ヵ月,,Lactochem Crystals,ﾗｸﾄｹﾑｸﾘｽﾀﾙｽﾞ,g（1）,,1％,可能,25kg,,images\803.jpg,kg,25,,DFEファーマ㈱,日局,購買,日本バルク薬品㈱,0.32kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,主薬,"2,700",804,,通常,チョウジ末,（未設定）,（未設定）,,12 ヵ月,,チョウジ末-N,ﾁﾖｳｼﾞﾏﾂｴﾇ,g（1）,,1％,可能,20kg,,images\804.jpg,kg,20,,甘利香辛食品㈱,日局,購買,甘利香辛食品㈱,0.24kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"2,000",805,,通常,ウイキョウ末,（未設定）,（未設定）,,12 ヵ月,,ウイキョウ末,ｳｲｷﾖｳﾏﾂ,g（1）,,1％,可能,20kg,,images\805.jpg,kg,20,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.33kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"1,370",806,,通常,ノイシリン A-AS(ケイ酸アルミン酸マグネシウム),（未設定）,（未設定）,,12 ヵ月,,ノイシリンA-AS,ﾉｲｼﾘﾝｴｰｴｰｴｽ,g（1）,,1％,可能,20kg,,images\806.jpg,kg,20,,富士化学工業㈱,日局,購買,日本バルク薬品㈱,0kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"2,000",807,,通常,ノイシリン A-AF(ケイ酸アルミン酸マグネシウム),（未設定）,（未設定）,,12 ヵ月,,ノイシリンA-AF,ﾉｲｼﾘﾝｴｰｴｰｴﾌ,g（1）,,1％,可能,10kg,,images\807.jpg,kg,10,,富士化学工業㈱,日局,購買,日本バルク薬品㈱,0.34kg,,
,2 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"26,950",808,,通常,リパーゼ AP12,（未設定）,（未設定）,,12 ヵ月,,リパーゼAP12,ﾘﾊﾟｰｾﾞｴｰﾋﾟｰｲﾁﾆ,g（1）,,1％,可能,10kg,,images\808.jpg,kg,10,,天野エンザイム㈱,別紙規格,購買,日本バルク薬品㈱,1.23kg,,
,2 枚,12 ヵ月,14 日,錠剤,使用期限,,する,その他,"2,390",809,,通常,カルメロース NS-300,（未設定）,（未設定）,,12 ヵ月,,カルメロース NS-300,ｶﾙﾒﾛｰｽｴﾇｴｽｻﾝｾﾞﾛｾﾞﾛ,g（1）,,1％,可能,20kg,,images\809.jpg,kg,20,,ニチリン化学工業㈱,日局,購買,日本バルク薬品㈱,0.21kg,,
,1 枚,12 ヵ月,30 日,錠剤,使用期限,,する,主薬,"16,100",810,,通常,アルジオキサ,（未設定）,（未設定）,,12 ヵ月,,アルジオキサ,ｱﾙｼﾞｵｷｻ,kg（1）,,1％,可能,25kg,,images\810.jpg,kg,25,乾燥減量**%,㈱パーマケム・アジア,日局,購買,スペラネクサス㈱,3.05kg,,
,1 枚,12 ヵ月,14 日,錠剤,表示なし,,する,その他,"1,830",811,,通常,ステアリン酸マグネシウム 植物性,（未設定）,（未設定）,,12 ヵ月,,ステアリン酸マグネシウム 植物性,ｽﾃｱﾘﾝｻﾝﾏｸﾞﾈｼｳﾑ ｼﾖｸﾌﾞﾂｾｲ,g（1）,,1％,可能,10kg,,images\811.jpg,kg,10,,太平化学産業㈱,日局,購買,ダイト㈱,0.35kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"1,250",812,,通常,アルカマックSH(合成ヒドロタルサイト),（未設定）,（未設定）,,12 ヵ月,,アルカマックSH,ｱﾙｶﾏﾂｸｴｽｴｲﾁ,g（1）,,1％,可能,20kg,,images\812.jpg,kg,20,,協和化学工業㈱,局外規,購買,スペラネクサス㈱,0.4kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"1,650",813,,通常,オウバク末,（未設定）,（未設定）,日本,12 ヵ月,,オウバク末-N,ｵｳﾊﾞｸﾏﾂｴﾇ,g（1）,,1％,可能,20kg,,images\813.jpg,kg,20,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.29kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"1,160",814,,通常,ケイヒ末,（未設定）,（未設定）,日本,12 ヵ月,,ケイヒ末-N,ｹｲﾋﾏﾂｴﾇ,g（1）,,1％,可能,20kg,,images\814.jpg,kg,20,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.29kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"1,800",815,,通常,ショウキョウ末,（未設定）,（未設定）,日本,12 ヵ月,,ショウキョウ末-N,ｼﾖｳｷﾖｳﾏﾂｴﾇ,kg（1）,,1％,可能,20kg,,images\815.jpg,kg,20,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.29kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"1,400",816,,通常,カンゾウ末,（未設定）,（未設定）,日本,12 ヵ月,,カンゾウ末-N,ｶﾝｿﾞｳﾏﾂｴﾇ,kg（1）,,1％,可能,15kg,,images\816.jpg,kg,15,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.29kg,,
,1 枚,12 ヵ月,21 日,錠剤,表示なし,,する,その他,359,817,,通常,フロストシュガー FS-2(精製白糖),（未設定）,（未設定）,,12 ヵ月,,フロストシュガーFS2,ﾌﾛｽﾄｼﾕｶﾞｰｴﾌｴｽﾂｰ,kg（1）,,1％,可能,20kg,試験2ヶ月,images\817.jpg,kg,20,,ウェルネオシュガー㈱,日局,購買,大和産業(株),0kg,,
,2 枚,12 ヵ月,14 日,錠剤,表示なし,,する,その他,"6,600",818,,通常,HPC-H(ヒドロキシプロピルセルロース),（未設定）,（未設定）,,12 ヵ月,,HPC-H,ｴｲﾁﾋﾟｰｼｰｴｲﾁ,kg（1）,,1％,可能,10kg,,,kg,10,,日本曹達㈱,日局,購買,日本バルク薬品㈱,0kg,,
吸湿性,3 枚,12 ヵ月,10 日,,表示なし,,しない,主薬,"7,533",819,,通常,200億末 有胞子性乳酸菌,（未設定）,（未設定）,,6 ヵ月,,200億末有胞子性乳酸菌,ﾆﾋﾔｸｵｸﾏﾂﾕｳﾎｳｼｾｲﾆﾕｳｻﾝｷﾝ,g（1）,,1％,可能,0kg,,,,,,中外医薬生産㈱緑ヶ丘第二工場,局外規,,中外医薬生産㈱緑ヶ丘第二工場,0kg,,
,1 枚,12 ヵ月,14 日,液剤,使用期限,―,する,その他,"1,220",82,F0047,通常,エリスリトール,（未設定）,440 : エリスリトール ／ 食添 ／ 三菱ケミカルフーズ㈱ ／ 興和（食）,,12 ヵ月,,エリスリトール (Erythritol(For Food)),ｴﾘｽﾘﾄｰﾙ,g（1）,,1％,可能,20kg,【原産国表示対象】エリスリトール、原産国(表示内容):アメリカ合衆国(今後、販売中止になる),images\82.jpg,kg,20kg,,三菱ケミカル㈱,食添,購買,興和㈱食品事業部,0.28kg,,
吸湿性,3 枚,12 ヵ月,10 日,,表示なし,,しない,主薬,"4,646",820,,通常,100億末 有胞子性乳酸菌,（未設定）,（未設定）,,6 ヵ月,,100億末有胞子性乳酸菌,ﾋﾔｸｵｸﾏﾂﾕｳﾎｳｼｾｲﾆﾕｳｻﾝｷﾝ,g（1）,,1％,可能,0kg,,,,,,中外医薬生産㈱緑ヶ丘第二工場,局外規,,中外医薬生産㈱緑ヶ丘第二工場,0kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,その他,"6,500",821,,通常,ヨーグルトミクロンD212,（未設定）,（未設定）,,12 ヵ月,,ヨーグルトミクロンD212,ﾖｰｸﾞﾙﾄﾐｸﾛﾝﾃﾞｲｰﾆｲﾁﾆ,g（1）,,1％,可能,10kg,,,kg,10,,高砂香料工業㈱,香料,購買,日本バルク薬品㈱,0.112kg,,
,0 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,0,822,,通常,新ビオフェルミンS錠,（未設定）,（未設定）,,12 ヵ月,,（中間製品）新ビオフェルミンS錠,ｼﾝﾋﾞｵﾌｴﾙﾐﾝｴｽｼﾞﾖｳ,kg（1）,,1％,可能,0kg,,,kg,15,,ビオフェルミン製薬㈱,別紙規格,支給,ビオフェルミン製薬㈱,0kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"3,160",823,,通常,チョウジ末,（未設定）,（未設定）,,12 ヵ月,,チョウジ末-N,ﾁﾖｳｼﾞﾏﾂｴﾇ,kg（1）,,1％,可能,20kg,,,kg,20,,日本粉末薬品㈱,日局,購買,日本粉末薬品㈱,0.32kg,,
,1 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"16,500",824,,通常,ヘスペリジン,（未設定）,（未設定）,,12 ヵ月,,ヘスペリジン,ﾍｽﾍﾟﾘｼﾞﾝ,g（1）,,1％,可能,25kg,4ヶ月リードタイムかかる,,kg,25,"乾燥減量:**%, 含量:**%, 類縁物質:**%",宏輝㈱,局外規,購買,宏輝(株),4.55kg,,
,1 枚,12 ヵ月,30 日,錠剤,使用期限,,する,主薬,"9,500",825,,通常,アルジオキサ,（未設定）,（未設定）,,12 ヵ月,,アルジオキサ,ｱﾙｼﾞｵｷｻ,kg（1）,,1％,可能,25kg,ATM(株),,kg,25,乾燥減量**%,Xi'an Yutai,日局,購買,ATM㈱,0kg,,
,3 枚,12 ヵ月,14 日,錠剤,使用期限,,する,主薬,"1,232",826,,通常,l-メントール3倍散,（未設定）,（未設定）,,6 ヵ月,,l-メントール3倍散,ｴﾙﾒﾝﾄｰﾙｻﾝﾊﾞｲｻﾝ,g（1）,,1％,可能,0kg,,,kg,,,中外医薬生産㈱緑ヶ丘第二工場,日局,購買,中外医薬生産㈱緑ヶ丘第二工場,0kg,,
,1 枚,12 ヵ月,14 日,外用剤,使用期限,,する,主薬,0,827,,通常,乳酸(DL-乳酸90%),（未設定）,（未設定）,,12 ヵ月,,乳酸(DL-乳酸90%),ﾆﾕｳｻﾝ.ﾃﾞｲｰｴﾙｰﾆﾕｳｻﾝｷﾕｳｼﾞﾕｳﾊﾟｰｾﾝﾄ.,g（1）,,1％,可能,20kg,,,kg,20,,昭和化工㈱,日局,支給,丸石製薬㈱,0kg,,
,1 枚,12 ヵ月,14 日,外用剤,表示なし,,する,その他,0,828,,通常,クエン酸水和物,（未設定）,（未設定）,,12 ヵ月,,クエン酸水和物,ｸｴﾝｻﾝｽｲﾜﾌﾞﾂ,g（1）,,1％,可能,25kg,,,kg,25,,サツマ化工㈱,日局,支給,丸石製薬㈱,0kg,,
